author,rating,no_of_reviews,title
Wizards RPG Team,4.5 out of 5 stars,94,Dungeons & Dragons Ghosts of Saltmarsh Hardcover Book (D&D Adventure)
Barbara Freethy,4.6 out of 5 stars,87,Devlin (7 Brides for 7 Blackthornes Book 1)
"Van Dusen, Chris",5.0 out of 5 stars,9,If I Built a School
Ishmael Beah,4.6 out of 5 stars,1853,A Long Way Gone: Memoirs of a Boy Soldier
Daniele Bott,4.7 out of 5 stars,240,Chanel: Collections and Creations
Hans Rosling,4.6 out of 5 stars,1067,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think
Dan Schilling,4.8 out of 5 stars,90,Alone at Dawn: Medal of Honor Recipient John Chapman and the Untold Story of the World's Deadliest Special Operations Force
Nicholas Sparks,4.7 out of 5 stars,2002,Every Breath
Abbi Waxman,4.3 out of 5 stars,155,The Bookish Life of Nina Hill
Meera Lee Patel,4.6 out of 5 stars,963,Start Where You Are: A Journal for Self-Exploration
"Moore MSc  PhD  Hon. DSc  FIAC, Keith L.",4.0 out of 5 stars,20,Clinically Oriented Anatomy
Michael Connelly,4.5 out of 5 stars,2272,Dark Sacred Night (A Renée Ballard and Harry Bosch Novel Book 1)
Paul McCartney,0,0,Hey Grandude!
Kendall Ryan,4.6 out of 5 stars,183,Playing for Keeps (Hot Jocks Book 1)
Megan Devine,4.8 out of 5 stars,456,It's OK That You're Not OK: Meeting Grief and Loss in a Culture That Doesn't Understand
T. D. Jakes,4.8 out of 5 stars,233,Crushing: God Turns Pressure into Power
Ken Follett,4.0 out of 5 stars,541,Third Twin: A Novel of Suspense
Chelsea Handler,4.6 out of 5 stars,379,Life Will Be the Death of Me: . . . and you too!
Maxine A. Papadakis,4.8 out of 5 stars,69,CURRENT Medical Diagnosis and Treatment 2019
Helen Hardt,4.6 out of 5 stars,1580,Obsession (Steel Brothers Saga Book 2)
Maureen Callahan,4.3 out of 5 stars,73,American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century
Edward Fiske,4.3 out of 5 stars,246,Fiske Guide to Colleges 2020
Yotam Ottolenghi,4.3 out of 5 stars,146,Ottolenghi Simple: A Cookbook
Yotam Ottolenghi,4.3 out of 5 stars,146,Ottolenghi Simple: A Cookbook
Tanya Emelyanova,4.8 out of 5 stars,149,"My First Toddler Coloring Book: Fun with Numbers, Letters, Shapes, Colors, and Animals!"
Kathleen McGurl,4.4 out of 5 stars,33,The Forgotten Secret: A heartbreaking and gripping historical novel for fans of Kate Morton
Jenifer Ruff,4.8 out of 5 stars,100,The Numbers Killer (An Agent Victoria Heslin Thriller Book 1)
Dr. Seuss,4.7 out of 5 stars,787,"Dr. Seuss's Happy Birthday, Baby! (Dr. Seuss Nursery Collection)"
Kelly Corrigan,4.6 out of 5 stars,231,Tell Me More: Stories About the 12 Hardest Things I'm Learning to Say
Jess Connolly,0,0,You Are the Girl for the Job: Daring to Believe the God Who Calls You
Aaron Blabey,4.9 out of 5 stars,57,The Bad Guys in The Big Bad Wolf (The Bad Guys #9)
E L James,3.6 out of 5 stars,1590,The Mister
Candace Bushnell,3.8 out of 5 stars,37,Is There Still Sex in the City?
Alice Schertle,0,0,"Good Night, Little Blue Truck"
Roxann Kriete,4.7 out of 5 stars,126,The Morning Meeting Book
Andre Iguodala,4.6 out of 5 stars,70,The Sixth Man: A Memoir
L.T. Ryan,3.9 out of 5 stars,3477,Noble Beginnings: A Jack Noble Thriller (Jack Noble #1)
Marc S Sabatine,4.2 out of 5 stars,225,Pocket Medicine: The Massachusetts General Hospital Handbook of Internal Medicine
Pam Muñoz Ryan,4.7 out of 5 stars,883,Esperanza Rising (Scholastic Gold)
Lin-Manuel Miranda,4.8 out of 5 stars,2163,Hamilton: The Revolution
Daniel Coyle,4.8 out of 5 stars,297,The Culture Code: The Secrets of Highly Successful Groups
Kathryne Taylor,4.8 out of 5 stars,758,Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body
Darren Hardy,4.8 out of 5 stars,2066,The Compound Effect
Thanhha Lai,4.6 out of 5 stars,636,Inside Out and Back Again
Alvin Schwartz,4.2 out of 5 stars,3,Scary Stories to Tell in the Dark: Three Books to Chill Your Bones: All 3 Scary Stories Books with the Original Art!
James Patterson,3.3 out of 5 stars,467,"Filthy Rich: A Powerful Billionaire, the Sex Scandal that Undid Him, and All the Justice that Money Can Buy: The Shocking True Story of Jeffrey Epstein"
N.C. Lewis,4.4 out of 5 stars,75,"Deadly Chapel: A fast-paced murder mystery with lots of twists, turns and humor (A British Seaside Cozy Mystery Book 1)"
Cara Natterson,4.8 out of 5 stars,266,Guy Stuff: The Body Book for Boys
Anna Todd,4.1 out of 5 stars,991,After (The After Series Book 1)
Daniel R. Day,5.0 out of 5 stars,35,Dapper Dan: Made in Harlem: A Memoir
Thomas Phelan,4.4 out of 5 stars,515,"1-2-3 Magic: 3-Step Discipline for Calm, Effective, and Happy Parenting"
Chris Ferrie,4.4 out of 5 stars,57,Baby University ABC's Four-Book Set
Andrea Beaty,4.8 out of 5 stars,634,"Iggy Peck, Architect"
Gary Keller,4.7 out of 5 stars,2688,The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results
Jim Clifton,4.2 out of 5 stars,30,It's the Manager: Gallup finds the quality of managers and team leaders is the single biggest factor in your organization's long-term success.
Jim Clifton,4.2 out of 5 stars,30,It's the Manager: Gallup finds the quality of managers and team leaders is the single biggest factor in your organization's long-term success.
Robert Sabuda,4.9 out of 5 stars,1336,Encyclopedia Prehistorica Dinosaurs : The Definitive Pop-Up
Scott Sutton,4.9 out of 5 stars,111,I Love You Like...
Lisa See,4.5 out of 5 stars,530,The Island of Sea Women: A Novel
Editors of Phoenix International Publications,4.7 out of 5 stars,32,Disney Pixar - Toy Story 4 Look and Find - PI Kids
Harlan Coben,4.3 out of 5 stars,974,Run Away
Priscilla Shirer,4.8 out of 5 stars,821,The Armor of God
Rick Warren,4.7 out of 5 stars,2076,The Purpose Driven Life: What on Earth Am I Here For?
Skye Warren,4.5 out of 5 stars,389,Overture
Etaf Rum,4.4 out of 5 stars,224,A Woman Is No Man: A Novel
Nick Cafardo,4.2 out of 5 stars,40,If These Walls Could Talk: Boston Red Sox
Workman Publishing,4.6 out of 5 stars,252,Everything You Need to Ace World History in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks)
"Agabegi MD, Dr. Steven",3.6 out of 5 stars,11,Step-Up to Medicine (Step-Up Series)
Peter Pauper Press Inc.,4.4 out of 5 stars,341,Essentials Weekly Planner Stickers (Set of 575 Stickers)
Saint Mary's Press,4.9 out of 5 stars,35,"The Catholic Youth Bible, 4th Edition, NABRE: New American Bible Revised Edition"
John Conroe,4.7 out of 5 stars,169,C.A.E.C.O.: A novel of the Demon Accords
John Conroe,4.7 out of 5 stars,169,C.A.E.C.O.: A novel of the Demon Accords
William Shakespeare,4.4 out of 5 stars,965,Macbeth (Folger Shakespeare Library)
"Weseley Ed.D., Allyson J.",4.7 out of 5 stars,149,Barron's AP Psychology with Online Tests
Darril Gibson,4.5 out of 5 stars,329,CompTIA Security+ Get Certified Get Ahead: SY0-501 Study Guide
Patrick M. Lencioni,4.7 out of 5 stars,471,The Ideal Team Player: How to Recognize and Cultivate The Three Essential Virtues
Roger Fisher,4.5 out of 5 stars,783,Getting to Yes: Negotiating Agreement Without Giving In
Robin Wall Kimmerer,4.8 out of 5 stars,561,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants"
Tom Rath,4.1 out of 5 stars,617,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow"
"Hartwig Urban, Melissa",4.5 out of 5 stars,391,The Whole30 Fast & Easy Cookbook: 150 Simply Delicious Everyday Recipes for Your Whole30
Sharon Maas,3.9 out of 5 stars,26,The Violin Maker's Daughter: Absolutely heartbreaking World War 2 historical fiction
James Rickards,3.9 out of 5 stars,28,Aftermath: Seven Secrets of Wealth Preservation in the Coming Chaos
John Steinbeck,4.3 out of 5 stars,738,The Pearl
Angela Marsons,4.7 out of 5 stars,97,Child's Play: A totally unputdownable serial killer thriller (Detective Kim Stone Crime Thriller Book 11)
Gregg Jarrett,0,0,Witch Hunt: The Story of the Greatest Mass Delusion in American Political History
Weston Parker,4.7 out of 5 stars,121,My Favorite Mistake (Bad Boy Greeks Book 2)
America's Test Kitchen,4.6 out of 5 stars,130,Vegetables Illustrated: An Inspiring Guide with 700+ Kitchen-Tested Recipes
laura/ Jennifer Walker Hunter,4.4 out of 5 stars,486,Moms on Call Basic Baby Care
Peter H. Reynolds,4.8 out of 5 stars,499,The Dot
Helena Hunting,4.5 out of 5 stars,285,Making Up: A Shacking Up Novel
Joe Pisapia,4.6 out of 5 stars,56,The Fantasy Football Black Book 2019 (Fantasy Black Book)
Martha Whitmore Hickman,4.8 out of 5 stars,1622,Healing After Loss: Daily Meditations For Working Through Grief
Vince Flynn,4.2 out of 5 stars,741,Red War (A Mitch Rapp Novel Book 15)
James McBride,4.1 out of 5 stars,936,The Good Lord Bird
Deborah Harkness,4.5 out of 5 stars,3928,"Shadow of Night: A Novel (All Souls Trilogy, Book 2)"
Kate Quinn,4.5 out of 5 stars,379,The Huntress: A Novel
"Rosenberg PhD, Marshall B.",4.7 out of 5 stars,390,Nonviolent Communication: A Language of Life: Life-Changing Tools for Healthy Relationships (Nonviolent Communication Guides)
Jessica Peterson,4.7 out of 5 stars,252,Southern Gentleman: An Accidental Pregnancy Romance
Khaled Hosseini,4.7 out of 5 stars,4789,A Thousand Splendid Suns
Jeff Olson,4.8 out of 5 stars,1549,The Slight Edge: Turning Simple Disciplines into Massive Success and Happiness
Brandon McMillan,4.8 out of 5 stars,542,Lucky Dog Lessons: Train Your Dog in 7 Days
Homer,4.6 out of 5 stars,222,The Odyssey
"Hansen PhD, John T.",4.6 out of 5 stars,86,Netter's Anatomy Coloring Book Updated Edition (Netter Basic Science)
Brandon McMillan,4.8 out of 5 stars,542,Lucky Dog Lessons: Train Your Dog in 7 Days
Homer,4.6 out of 5 stars,222,The Odyssey
"Hansen PhD, John T.",4.6 out of 5 stars,86,Netter's Anatomy Coloring Book Updated Edition (Netter Basic Science)
Bobby Parrish,4.9 out of 5 stars,501,Keto Meal Prep by FlavCity: 125+ Low Carb Recipes That Actually Taste Good
F. C. Yee,4.8 out of 5 stars,79,"Avatar, The Last Airbender: The Rise of Kyoshi (The Kyoshi Novels)"
Bill Watterson,4.9 out of 5 stars,2017,The Complete Calvin and Hobbes
"de la Cruz, Melissa",4.6 out of 5 stars,47,Escape from the Isle of the Lost: A Descendants Novel (The Descendants)
Greg McKeown,4.6 out of 5 stars,1554,Essentialism: The Disciplined Pursuit of Less
Taylor Jenkins Reid,4.5 out of 5 stars,952,The Seven Husbands of Evelyn Hugo: A Novel
Timothy Ferriss,4.4 out of 5 stars,5180,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich"
V.C. Andrews,4.6 out of 5 stars,227,Heaven (Casteel Book 1)
Katrin Davidsdottir,4.8 out of 5 stars,7,Dottir: My Journey to Becoming a Two-Time CrossFit Games Champion
Soraya M. Lane,4.6 out of 5 stars,105,The Girls of Pearl Harbor
Kay Winters,4.4 out of 5 stars,68,This School Year Will Be the BEST!
Joanna Gaines,4.8 out of 5 stars,224,We Are the Gardeners
Roger Price,4.8 out of 5 stars,355,Mad Libs on the Road
Joanna Gaines,4.8 out of 5 stars,224,We Are the Gardeners
Roger Price,4.8 out of 5 stars,355,Mad Libs on the Road
C. S. Lewis,4.6 out of 5 stars,2337,The Screwtape Letters
Rodman Philbrick,4.6 out of 5 stars,596,Freak the Mighty (Scholastic Gold)
Allen Carr,4.7 out of 5 stars,1418,Allen Carr's Easy Way To Stop Smoking
Graham Greene,4.3 out of 5 stars,149,The Heart of the Matter
"Agassi Ph.D., Martine",4.5 out of 5 stars,579,Hands Are Not for Hitting (Board Book) (Best Behavior Series)
Cristina Alger,4.2 out of 5 stars,124,Girls Like Us
Kaplan Test Prep,4.6 out of 5 stars,140,ASVAB Prep Plus 2018-2019: 6 Practice Tests + Proven Strategies + Online + Video (Kaplan Test Prep)
J.K. Rowling,4.8 out of 5 stars,564,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)"
Meg Mitchell Moore,4.4 out of 5 stars,49,The Islanders: A Novel
David Lagercrantz,0,0,"The Girl Who Lived Twice: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series"
Gregory Boyle,4.8 out of 5 stars,702,Tattoos on the Heart: The Power of Boundless Compassion
Penelope Sky,3.6 out of 5 stars,33,The Scotch Series Boxset: Contemporary Dark Romance
Yann Martel,4.4 out of 5 stars,6777,Life of Pi
Pete Buttigieg,4.8 out of 5 stars,508,Shortest Way Home: One Mayor's Challenge and a Model for America's Future
"Greene PhD, Ross W.",4.6 out of 5 stars,397,"Explosive Child, The: A New Approach For Understanding And Parenting Easily Frustrated, Chronically Inflexible Children"
Meredith Jacobs,4.8 out of 5 stars,812,"Just Between Us: Mother & Daughter: A No-Stress, No-Rules Journal (Activity Journal for Teen Girls and Moms, Diary for Tween Girls)"
Nielson Phu,4.9 out of 5 stars,193,The College Panda's SAT Writing: Advanced Guide and Workbook
Mark Pett,4.6 out of 5 stars,359,The Girl Who Never Made Mistakes
Rupi Kaur,4.6 out of 5 stars,1279,The Sun and Her Flowers
"Van Ness, Jonathan",0,0,Over the Top: A Raw Journey to Self-Love
Kendra Elliot,4.8 out of 5 stars,582,A Merciful Promise (Mercy Kilpatrick Book 6)
Anne Frank,4.6 out of 5 stars,2034,Anne Frank: The Diary of a Young Girl
Michael Kracht,4.4 out of 5 stars,716,"ABC's for Boys (Alphabet Book, Baby Book, Children's Book, Toddler Book)"
Robyn Peterman,4.9 out of 5 stars,52,"A Fashionable Fiasco: Book Twelve, The Hot Damned Series"
Shelly Westerhausen,4.3 out of 5 stars,77,"Platters and Boards: Beautiful, Casual Spreads for Every Occasion (Appetizer Cookbooks, Dinner Party Planning Books, Food Presentation Books)"
Deborah Harkness,4.7 out of 5 stars,5251,"The Book of Life: A Novel (All Souls Trilogy, Book 3)"
David G. Myers,4.3 out of 5 stars,36,Myers' Psychology for the Ap(r) Course
Patrick Radden Keefe,4.6 out of 5 stars,287,Say Nothing: A True Story of Murder and Memory in Northern Ireland
Ashley Farley,4.5 out of 5 stars,373,Only One Life: A Novel
Laurel Randolph,4.0 out of 5 stars,2857,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals
Parker S. Huntington,4.6 out of 5 stars,101,Damiano De Luca: A Second Chance Mafia Romance
DK,4.8 out of 5 stars,1422,My First Touch and Feel Picture Cards: First Words (My 1st T&F Picture Cards)
Octavia E. Butler,4.6 out of 5 stars,1347,Kindred
"DeLoache Williams, Rachel",4.0 out of 5 stars,54,My Friend Anna: The True Story of a Fake Heiress
Emmeline Bloom,3.9 out of 5 stars,5,Lesson Planner: Teacher Agenda For Class Organization and Planning | Weekly and Monthly Academic Year (July - August) | Blue Floral (2019-2020)
James Dean,4.9 out of 5 stars,1251,Pete the Cat: I Love My White Shoes
Karen Dukess,4.1 out of 5 stars,73,The Last Book Party
Ibram X. Kendi,4.7 out of 5 stars,330,Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner)
Brené Brown,4.6 out of 5 stars,1068,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone
James Dean,5.0 out of 5 stars,6,Pete the Kitty's First Day of Preschool (Pete the Cat)
Anna Todd,4.6 out of 5 stars,282,After We Fell (3) (The After Series)
Melody Beattie,4.8 out of 5 stars,1422,The Language of Letting Go: Daily Meditations for Codependents (Hazelden Meditation Series)
Sheila Roberts,4.4 out of 5 stars,122,The Summer Retreat (A Moonlight Harbor Novel Book 3)
Dawn McMillan,4.5 out of 5 stars,661,I Need a New Butt!
Brad Thor,4.6 out of 5 stars,858,Spymaster: A Thriller (The Scot Harvath Series Book 18)
J.K. Rowling,4.8 out of 5 stars,1155,Hogwarts Library (Harry Potter)
David Allen,4.4 out of 5 stars,718,Getting Things Done: The Art of Stress-Free Productivity
Stephen C. Yeazell,5.0 out of 5 stars,1,"Federal Rules of Civil Procedure: With Selected Statutes and Other Materials, 2019 (Supplements)"
Neal Stephenson,3.1 out of 5 stars,341,"Fall; or, Dodge in Hell: A Novel"
Martha Hall Kelly,4.6 out of 5 stars,6003,Lilac Girls: A Novel
James Stewart,3.9 out of 5 stars,141,Calculus: Early Transcendentals
Deborah Harkness,4.4 out of 5 stars,6587,"A Discovery of Witches: A Novel (All Souls Trilogy, Book 1)"
Kate Hewitt,4.6 out of 5 stars,97,Not My Daughter: An absolutely heartbreaking pageturner
iClicker,4.3 out of 5 stars,78,iClicker2 Student Remote and Reef 6m Packaging
Ben Shapiro,4.8 out of 5 stars,748,The Right Side of History: How Reason and Moral Purpose Made the West Great
Tana French,3.8 out of 5 stars,2757,"In the Woods (Dublin Murder Squad, Book 1)"
Liv Constantine,4.2 out of 5 stars,1479,The Last Mrs. Parrish
Emerson Eggerichs,4.6 out of 5 stars,2711,Love & Respect: The Love She Most Desires; The Respect He Desperately Needs
Andrzej Sapkowski,4.8 out of 5 stars,451,Sword of Destiny
Meg Jay,4.7 out of 5 stars,971,The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now
Casey McQuiston,4.7 out of 5 stars,566,"Red, White & Royal Blue: A Novel"
Michelle Alexander,4.7 out of 5 stars,2980,The New Jim Crow:  Mass Incarceration in the Age of Colorblindness
Chuck Wendig,4.3 out of 5 stars,284,Wanderers: A Novel
Adam Higginbotham,4.8 out of 5 stars,407,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster
Stassi Schroeder,4.3 out of 5 stars,369,Next Level Basic: The Definitive Basic Bitch Handbook
"Snowden MA, Samantha",4.5 out of 5 stars,48,Anger Management Workbook for Kids: 50 Fun Activities to Help Children Stay Calm and Make Better Choices When They Feel Mad
Vivian Rose  Lee,5.0 out of 5 stars,18,A Gentle Heart II (Heart Series Book 12)
Steve Harvey,4.5 out of 5 stars,4602,"Act Like a Lady, Think Like a Man, Expanded Edition: What Men Really Think About Love, Relationships, Intimacy, and Commitment"
Andrew Yang,4.8 out of 5 stars,301,The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future
American Medical Association,3.0 out of 5 stars,112,CPT 2019 (CPT / Current Procedural Terminology (Professional Edition))
Diane Alber,4.9 out of 5 stars,57,Sticks
Helen Hardt,4.6 out of 5 stars,1338,Possession (Steel Brothers Saga Book 3)
Grant Achatz,4.5 out of 5 stars,41,The Aviary Cocktail Book
"Halter PhD  APRN, Margaret Jordan",4.0 out of 5 stars,46,Varcarolis' Foundations of Psychiatric-Mental Health Nursing: A Clinical Approach
Jasmine Guillory,4.0 out of 5 stars,698,The Wedding Date
Patricia Briggs,4.7 out of 5 stars,774,Storm Cursed (A Mercy Thompson Novel Book 11)
Scott Pratt,4.5 out of 5 stars,12837,An Innocent Client (Joe Dillard Series Book 1)
Handwriting Time,4.7 out of 5 stars,375,Lots and Lots of Letter Tracing Practice!
Scott Pratt,4.5 out of 5 stars,12837,An Innocent Client (Joe Dillard Series Book 1)
Handwriting Time,4.7 out of 5 stars,375,Lots and Lots of Letter Tracing Practice!
J.K. Rowling,4.9 out of 5 stars,1028,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)"
Danielle Walker,4.8 out of 5 stars,424,"Danielle Walker's Eat What You Love: Everyday Comfort Food You Crave; Gluten-Free, Dairy-Free, and Paleo Recipes: A C ookbook"
Dan Green,4.6 out of 5 stars,771,How to Draw 101 Animals
"Burns PhD  RN  CPNP-PC  FAAN, Catherine E.",4.1 out of 5 stars,61,Pediatric Primary Care
Kaplan Test Prep,4.4 out of 5 stars,47,SAT Prep Plus 2020: 5 Practice Tests + Proven Strategies + Online (Kaplan Test Prep)
Derek Munson,4.9 out of 5 stars,226,"Enemy Pie : (Reading Rainbow Book, Children’s Book about Kindness, Kids Books about Learning)"
"Perry RN  PhD  FAAN, Shannon E.",4.0 out of 5 stars,124,Maternal Child Nursing Care
Scholastic,4.7 out of 5 stars,254,Wipe Clean Workbook: Pre-K (Scholastic Early Learners)
Matt Maiocco,5.0 out of 5 stars,11,Letters to 87
Natalie Barelli,4.3 out of 5 stars,447,The Accident: A chilling psychological thriller
Alvin Schwartz,4.7 out of 5 stars,415,Scary Stories to Tell in the Dark Series: More Scary Stories to Tell in the Dark; Scary Stories to Tell in the Dark 3 (Book sets for Kids: Grade 3 and Up) by Alvin Schwartz (1981) Paperback
"Burchum DNSc  APRN  BC, Jacqueline",4.5 out of 5 stars,22,Lehne's Pharmacology for Nursing Care
Laurie Frankel,4.6 out of 5 stars,1026,This Is How It Always Is: A Novel
Ian Morgan Cron,4.5 out of 5 stars,98,The Road Back to You Study Guide
Dave Hollis,0,0,Get Out of Your Own Way: A Skeptic’s Guide to Growth and Fulfillment
Rachel Ignotofsky,4.7 out of 5 stars,633,Women in Science: 50 Fearless Pioneers Who Changed the World
National Geographic Maps,4.5 out of 5 stars,365,"National Geographic Road Atlas 2019: Adventure Edition [United States, Canada, Mexico] (National Geographic Recreation Atlas)"
Marianne Williamson,4.7 out of 5 stars,1371,"A Return to Love: Reflections on the Principles of ""A Course in Miracles"""
Mary Kay Andrews,4.3 out of 5 stars,474,Sunset Beach: A Novel
Kwame Alexander,4.7 out of 5 stars,533,The Crossover (The Crossover Series)
Gen Tanabe,4.1 out of 5 stars,6,"The Ultimate Scholarship Book 2020: Billions of Dollars in Scholarships, Grants and Prizes"
Kira Willey,4.8 out of 5 stars,136,"Breathe Like a Bear: 30 Mindful Moments for Kids to Feel Calm and Focused Anytime, Anywhere"
Mark Lawrence,4.6 out of 5 stars,410,Red Sister (Book of the Ancestor 1)
Kris Michaels,4.9 out of 5 stars,73,Lycos (Guardian Security Shadow World Book 3)
Alice Newman,4.5 out of 5 stars,1908,Instant Pot for Two Cookbook: Easy and Healthy Instant Pot Recipes Cookbook for Two
Katrina Charman,4.9 out of 5 stars,32,"Car, Car, Truck, Jeep"
John Steinbeck,4.5 out of 5 stars,1959,The Grapes of Wrath
Peter Brown,4.8 out of 5 stars,455,The Wild Robot
Martha R. Taylor,4.1 out of 5 stars,39,Campbell Biology: Concepts & Connections (9th Edition)
Karen Frazier,4.8 out of 5 stars,363,Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals
Joyce Meyer,4.8 out of 5 stars,3662,Battlefield of the Mind: Winning the Battle in Your Mind
"Criado Perez, Caroline",4.7 out of 5 stars,31,Invisible Women: Data Bias in a World Designed for Men
Crystal Chatterton,4.7 out of 5 stars,173,Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work
Ernest Cline,4.6 out of 5 stars,19038,Ready Player One: A Novel
Alice Coldbreath,4.5 out of 5 stars,36,Wed By Proxy (Brides of Karadok Book 1)
Stephen King,4.4 out of 5 stars,4101,The Outsider: A Novel
Tomi Adeyemi,4.7 out of 5 stars,2070,Children of Blood and Bone (Legacy of Orisha)
David Baldacci,0,0,A Minute to Midnight (Atlee Pine)
Benjamin Dreyer,4.5 out of 5 stars,315,Dreyer's English: An Utterly Correct Guide to Clarity and Style
David Sedaris,4.3 out of 5 stars,906,Calypso
Joseph W. Glannon,4.8 out of 5 stars,6,Examples & Explanations for Civil Procedure
Emily Jensen,0,0,Risen Motherhood: Gospel Hope for Everyday Moments
Max Lucado,4.7 out of 5 stars,803,Anxious for Nothing: Finding Calm in a Chaotic World
Liz Williams,4.1 out of 5 stars,89,"Keto Meal Prep: Lose Weight, Save Time, and Feel Your Best on the Ketogenic Diet"
Suzanne Collins,4.7 out of 5 stars,25411,The Hunger Games (Book 1)
Amelia Hutchins,4.8 out of 5 stars,41,Immortal Hexes
Max Monroe,4.6 out of 5 stars,307,My Brother's Billionaire Best Friend
Dr. Seuss,4.7 out of 5 stars,1176,Happy Birthday to You!
Daniel Lipkowitz,4.2 out of 5 stars,1920,The Lego Ideas Book: Unlock Your Imagination
"Ku M.A., Richard",3.5 out of 5 stars,11,Barron's SAT Subject Test: Math Level 2 with Online Tests (Barron's Test Prep)
Neal Stephenson,3.7 out of 5 stars,29,Atmosphæra Incognita
Richard Scarry,4.9 out of 5 stars,1129,Richard Scarry's Cars and Trucks and Things That Go
Richard N. Bolles,4.0 out of 5 stars,142,What Color Is Your Parachute? 2019: A Practical Manual for Job-Hunters and Career-Changers
Kentaro Miura,0,0,Berserk Deluxe Volume 4
John Locke,4.2 out of 5 stars,17,Size Matters
Dav Pilkey,4.9 out of 5 stars,415,Dog Man: The Epic Collection: From the Creator of Captain Underpants (Dog Man #1-3 Boxed Set)
Nicholas A. Christakis,4.5 out of 5 stars,33,Blueprint: The Evolutionary Origins of a Good Society
Alex Hirsch,4.8 out of 5 stars,1788,Gravity Falls: Journal 3
Carsten Jensen,3.6 out of 5 stars,19,The First Stone
Bonnie Worth,4.8 out of 5 stars,310,Oh Say Can You Say Di-no-saur?: All About Dinosaurs (Cat in the Hat's Learning Library)
Nora Roberts,4.5 out of 5 stars,3425,"Year One: Chronicles of The One, Book 1"
Nic Stone,4.8 out of 5 stars,322,Dear Martin
Dr. Lynda Madison,4.8 out of 5 stars,600,The Feelings Book (Revised): The Care and Keeping of Your Emotions
Wizards RPG Team,0,0,Dungeons & Dragons Baldur's Gate: Descent Into Avernus Hardcover Book (D&D Adventure)
Martin Kleppmann,4.7 out of 5 stars,175,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems"
Oprah Winfrey,4.3 out of 5 stars,303,The Path Made Clear: Discovering Your Life's Direction and Purpose
Charlotte Byrd,4.6 out of 5 stars,142,Tell me to stop
Willard A. Palmer,4.6 out of 5 stars,1122,Adult All-In-One Course: Lesson-Theory-Technic: Level 1
David Wallace-Wells,4.3 out of 5 stars,315,The Uninhabitable Earth: Life After Warming
Jared Chapman,4.4 out of 5 stars,21,Fruits in Suits
Esi Edugyan,4.3 out of 5 stars,357,Washington Black: A novel
Wizards RPG Team,4.6 out of 5 stars,321,Curse of Strahd: A Dungeons & Dragons Sourcebook
Jocko Willink,4.8 out of 5 stars,307,The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win
Warren Sharp,4.2 out of 5 stars,48,Warren Sharp's 2019 Football Preview
Marc Franklin,4.5 out of 5 stars,5,Tort Law and Alternatives: Cases and Materials (University Casebook Series)
Lisa Brennan-Jobs,4.3 out of 5 stars,408,Small Fry
Tao Le,3.8 out of 5 stars,29,"First Aid for the USMLE Step 2 CK, Tenth Edition"
James Patterson,0,0,The 19th Christmas (Women's Murder Club)
Odette Stone,4.8 out of 5 stars,268,The Penalty Box: A hockey sports romance novel (A Vancouver Wolves Hockey Romance Book 3)
Joy-Ann Reid,4.0 out of 5 stars,70,The Man Who Sold America: Trump and the Unraveling of the American Story
Jesse Dukeminier,3.5 out of 5 stars,7,Property [Connected Casebook] (Aspen Casebook)
Laurie Halse Anderson,4.5 out of 5 stars,1745,Speak
Napoleon Hill,4.6 out of 5 stars,277,"Think and Grow Rich: The Original, an Official Publication of The Napoleon Hill Foundation"
Frank Herbert,4.6 out of 5 stars,3020,Dune
Steven Rinella,4.9 out of 5 stars,499,The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler
John C. P. Goldberg,4.2 out of 5 stars,17,Tort Law: Responsibilities and Redress [Connected Casebook] (Aspen Casebook)
Bob Sornson,4.7 out of 5 stars,157,The Juice Box Bully: Empowering Kids to Stand Up for Others
"Gray Morris RN  BSN  MA  LNC, Deborah C.",4.7 out of 5 stars,24,Calculate with Confidence
