author,rating,no_of_reviews,title
Gina Homolka,4.7 out of 5 stars,195,The Skinnytaste Air Fryer Cookbook: The 75 Best Healthy Recipes for Your Air Fryer
Joanna Gaines,4.7 out of 5 stars,2029,Magnolia Table: A Collection of Recipes for Gathering
Louise Penny,0,0,A Better Man: A Chief Inspector Gamache Novel
Stephen R. Covey,4.6 out of 5 stars,5213,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
Maria Semple,4.3 out of 5 stars,5856,"Where'd You Go, Bernadette: A Novel"
Hillary Rodham Clinton,0,0,The Book of Gutsy Women: Favorite Stories of Courage and Resilience
Melissa Hartwig,4.6 out of 5 stars,3536,The Whole30: The 30-Day Guide to Total Health and Food Freedom
Danielle Steel,4.5 out of 5 stars,189,Lost and Found: A Novel
"Greger M.D. FACLM, Michael",4.8 out of 5 stars,3148,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease
Tim O'Brien,4.4 out of 5 stars,2626,The Things They Carried
Monica Sweeney,4.8 out of 5 stars,367,Zen as F*ck: A Journal for Practicing the Mindful Art of Not Giving a Sh*t (Zen as F*ck Journals)
J. D. Salinger,4.1 out of 5 stars,3473,The Catcher in the Rye
Linda Sue Park,4.7 out of 5 stars,1737,A Long Walk to Water: Based on a True Story
Donna Tartt,3.8 out of 5 stars,26192,The Goldfinch: A Novel (Pulitzer Prize for Fiction)
Trudy Ludwig,4.8 out of 5 stars,303,The Invisible Boy
Markus Zusak,4.6 out of 5 stars,19243,The Book Thief
Marie Forleo,0,0,Everything Is Figureoutable
The Princeton Review,4.3 out of 5 stars,12,"Cracking the SAT Premium Edition with 8 Practice Tests, 2020: The All-in-One Solution for Your Highest Possible Score (College Test Preparation)"
Carol S. Dweck,4.4 out of 5 stars,2439,Mindset: The New Psychology of Success
iClicker,4.5 out of 5 stars,178,iClicker2 Student Remote
Bill Martin Jr.,4.8 out of 5 stars,2743,Chicka Chicka Boom Boom (Board Book)
Naomi Kleinberg,4.5 out of 5 stars,1699,P is for Potty! (Sesame Street) (Lift-the-Flap)
Mike Barrett,4.4 out of 5 stars,125,SAT Prep Black Book: The Most Effective SAT Strategies Ever Published
David Baldacci,4.6 out of 5 stars,1297,Redemption (Memory Man series Book 5)
Manhattan Prep,4.5 out of 5 stars,481,"5 lb. Book of GRE Practice Problems: 1,800+ Practice Problems in Book and Online (Manhattan Prep 5 lb Series)"
Shel Silverstein,4.8 out of 5 stars,3295,The Giving Tree
Randall Munroe,0,0,How To: Absurd Scientific Advice for Common Real-World Problems
Columbia Law Review,4.2 out of 5 stars,142,"The Bluebook: A Uniform System of Citation, 20th Edition"
Benjamin Graham,4.5 out of 5 stars,1949,The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition)
Kristin Hannah,4.8 out of 5 stars,38602,The Nightingale: A Novel
Crispin Boyer,4.8 out of 5 stars,610,"National Geographic Kids Why?: Over 1,111 Answers to Everything"
Jen Fisch,4.3 out of 5 stars,721,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet"
Bryan Stevenson,4.8 out of 5 stars,3629,Just Mercy: A Story of Justice and Redemption
Kaplan Test Prep,4.2 out of 5 stars,109,GRE Prep Plus 2020: Practice Tests + Proven Strategies + Online + Video + Mobile (Kaplan Test Prep)
Marco Borges,4.2 out of 5 stars,104,"The Greenprint: Plant-Based Diet, Best Body, Better World"
Katherine Applegate,4.8 out of 5 stars,2691,The One and Only Ivan
Annie F. Downs,4.7 out of 5 stars,354,100 Days to Brave: Devotions for Unlocking Your Most Courageous Self
Viola Davis,4.8 out of 5 stars,20,Corduroy Takes a Bow
Marty Smith,5.0 out of 5 stars,9,"Never Settle: Sports, Family, and the American Soul"
John Grisham,3.8 out of 5 stars,5346,The Reckoning: A Novel
James Patterson,4.5 out of 5 stars,198,Unsolved (Invisible Book 2)
Stephen Hunter,4.2 out of 5 stars,55,Game of Snipers (Bob Lee Swagger)
Aurora Rose Reynolds,4.7 out of 5 stars,284,Until December: Until Her
"Lewis RN  PhD  FAAN, Sharon L.",4.0 out of 5 stars,97,"Medical-Surgical Nursing: Assessment and Management of Clinical Problems, Single Volume"
National Geographic Kids,4.8 out of 5 stars,1204,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)"
K.L. Slater,4.4 out of 5 stars,94,The Silent Ones: An absolutely gripping psychological thriller
Travis Bradberry,4.1 out of 5 stars,1443,Emotional Intelligence 2.0
Daniella Wright,4.4 out of 5 stars,54,The Ithaden’s Slave
Margaret Atwood,4.1 out of 5 stars,15040,The Handmaid's Tale
Lisa Regan,4.7 out of 5 stars,38,Her Silent Cry: An absolutely gripping mystery thriller (Detective Josie Quinn Book 6)
Stephen C. Yeazell,3.0 out of 5 stars,2,Civil Procedure [Connected Casebook] (Aspen Casebook)
Editors of Phoenix International Publications,4.5 out of 5 stars,68,"World of Eric Carle, Hear Bear Roar 30 Animal Sound Book - PI Kids (The World of Eric Carle: Play-a-sound)"
Rod Campbell,4.8 out of 5 stars,3013,Dear Zoo: A Lift-the-Flap Book
James Patterson,4.4 out of 5 stars,925,The 18th Abduction (Women's Murder Club)
Andrea Beaty,4.9 out of 5 stars,1265,"Rosie Revere, Engineer"
Jon Krakauer,4.3 out of 5 stars,2763,Into the Wild
Iris Johansen,4.4 out of 5 stars,26,Smokescreen (Eve Duncan Book 26)
Alice Schertle,4.9 out of 5 stars,3881,Little Blue Truck board book
Eckhart Tolle,4.6 out of 5 stars,5984,The Power of Now: A Guide to Spiritual Enlightenment
Sarah Young,4.9 out of 5 stars,14337,Jesus Calling: Enjoying Peace in His Presence (with Scripture References)
Sean Covey,4.3 out of 5 stars,1031,The 7 Habits of Highly Effective Teens
"Bickley MD  FACP, Lynn S.",3.5 out of 5 stars,109,Bates' Guide to Physical Examination and History Taking
Joshilyn Jackson,4.3 out of 5 stars,94,Never Have I Ever: A Novel
Joshilyn Jackson,4.3 out of 5 stars,94,Never Have I Ever: A Novel
Deborah Diesen,4.8 out of 5 stars,3072,The Pout-Pout Fish
Maria Dismondy,4.7 out of 5 stars,698,Spaghetti in a Hot Dog Bun: Having the Courage To Be Who You Are
Kelly Harms,4.4 out of 5 stars,2792,The Overdue Life of Amy Byler
George Takei,4.8 out of 5 stars,66,They Called Us Enemy
Amor Towles,4.4 out of 5 stars,2587,Rules of Civility: A Novel
Conor Riordan,3.7 out of 5 stars,458,Wacky Waving Inflatable Tube Guy (RP Minis)
David Baldacci,4.1 out of 5 stars,2194,Long Road to Mercy (An Atlee Pine Thriller Book 1)
Kate Quinn,4.7 out of 5 stars,3164,The Alice Network: A Novel
Daniel J. Siegel,4.6 out of 5 stars,981,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind
School Zone,4.0 out of 5 stars,315,"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More"
Merriam-Webster,4.1 out of 5 stars,317,Merriam-Webster's Pocket Dictionary
Patrick Lencioni,4.6 out of 5 stars,2206,The Five Dysfunctions of a Team: A Leadership Fable
The Washington Post,4.4 out of 5 stars,742,The Mueller Report
George Orwell,4.4 out of 5 stars,3148,Animal Farm
Liane Moriarty,4.3 out of 5 stars,19123,The Husband's Secret
Marino Zapete,4.8 out of 5 stars,33,La Crónica Irreverente (Spanish Edition)
Editors of Phoenix International Publications,4.3 out of 5 stars,180,Nickelodeon - Paw Patrol Me Reader Electronic Reader and 8-Book Library - PI Kids
Chinua Achebe,4.3 out of 5 stars,1703,Things Fall Apart
A. J. Finn,4.3 out of 5 stars,6008,The Woman in the Window: A Novel
Jory John,4.7 out of 5 stars,111,The Good Egg
Arthur Edward Waite,4.5 out of 5 stars,1410,The Rider Tarot Deck
Megan Goldin,4.2 out of 5 stars,373,The Escape Room: A Novel
Marcus Pfister,4.4 out of 5 stars,1091,The Rainbow Fish
Linda Castillo,4.6 out of 5 stars,173,Shamed: A Kate Burkholder Novel
Robert T. Kiyosaki,4.6 out of 5 stars,7745,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!
Aldous Huxley,4.2 out of 5 stars,2532,Brave New World
Tammi Sauer,4.6 out of 5 stars,64,Nugget and Fang: Friends Forever--or Snack Time?
Colson Whitehead,4.2 out of 5 stars,4524,The Underground Railroad: A Novel
Stephen King,0,0,The Institute: A Novel
Michael A. Singer,4.7 out of 5 stars,5068,The Untethered Soul: The Journey Beyond Yourself
Adele Faber,4.6 out of 5 stars,1437,How to Talk So Kids Will Listen & Listen So Kids Will Talk
Marlowe Benn,4.2 out of 5 stars,319,Relative Fortunes (A Julia Kydd Novel Book 1)
Mandy Robotham,4.7 out of 5 stars,664,The German Midwife: A new historical romance for 2019 from the USA Today best seller.
J. S. Scott,4.8 out of 5 stars,152,Billionaire Unattainable ~ Mason: A Billionaire's Obsession Novel (The Billionaire's Obsession Book 14)
Scholastic,4.9 out of 5 stars,321,Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters
Kristin Hannah,4.6 out of 5 stars,6963,The Great Alone: A Novel
Blake Crouch,4.5 out of 5 stars,484,Recursion: A Novel
Jamie Glowacki,4.3 out of 5 stars,1196,Oh Crap! Potty Training: Everything Modern Parents Need to Know  to Do It Once and Do It Right (1) (Oh Crap Parenting)
Gayle Laakmann McDowell,4.5 out of 5 stars,632,Cracking the Coding Interview: 189 Programming Questions and Solutions
Gregg Olsen,4.5 out of 5 stars,481,Lying Next to Me
Adam Mansbach,4.7 out of 5 stars,3767,Go the F**k to Sleep
"McCance RN  PhD, Kathryn L.",4.2 out of 5 stars,32,Pathophysiology: The Biologic Basis for Disease in Adults and Children
Melody Beattie,4.6 out of 5 stars,2285,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself
Jeannette Walls,4.6 out of 5 stars,7758,The Glass Castle: A Memoir
Disney Book Group,4.8 out of 5 stars,798,The Disney Princess Cookbook
Julia Cook,4.7 out of 5 stars,325,A Bad Case of Tattle Tongue
John Grisham,0,0,The Guardians: A Novel
Mary Pope Osborne,4.8 out of 5 stars,1814,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon"
TEAS Exam Secrets Test Prep Team,4.7 out of 5 stars,4530,"ATI TEAS Secrets Study Guide: TEAS 6 Complete Study Manual, Full-Length Practice Tests, Review Video Tutorials for the Test of Essential Academic Skills, Sixth Edition"
Marie Force,4.9 out of 5 stars,151,One Year Home
Maurice Sendak,4.7 out of 5 stars,2282,Where the Wild Things Are
Vinny Guadagnino,0,0,The Keto Guido Cookbook: Delicious Recipes to Get Healthy and Look Great
Robert H Sitkoff,4.5 out of 5 stars,15,"Wills Trusts & Estates, Tenth Edition [Connected Casebook] (Aspen Casebook)"
Sue Grafton,4.4 out of 5 stars,1533,V is for Vengeance (Kinsey Millhone Book 22)
Robert Munsch,4.8 out of 5 stars,7138,Love You Forever
Simon Sinek,4.5 out of 5 stars,2375,Start with Why: How Great Leaders Inspire Everyone to Take Action
Tommy Orange,4.0 out of 5 stars,742,There There
