authors,avg_rating,ratings_count,title
Alice Schertle,4.9,3882,Little Blue Truck board book
Eckhart Tolle,4.6,5984,The Power of Now
Deborah Diesen,4.8,3074,The Pout-Pout Fish
Maria Dismondy,4.7,698,Spaghetti in a Hot Dog Bun: Having the Courage To Be Who You Are
Kelly Harms,4.4,2801,The Overdue Life of Amy Byler
George Takei,4.9,67,They Called Us Enemy
Conor Riordan,3.8,460,Wacky Waving Inflatable Tube Guy (RP Minis)
Daniel J. Siegel,4.6,982,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind
School Zone,4.0,315,"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More"
Merriam-Webster,4.1,317,Merriam-Webster's Pocket Dictionary
Patrick Lencioni,4.6,2206,The Five Dysfunctions of a Team: A Leadership Fable
The Washington Post,4.4,745,The Mueller Report
George Orwell,4.4,3149,Animal Farm
Marino Zapete,4.8,33,La Crónica Irreverente (Spanish Edition)
Editors of Phoenix International Publications,4.3,180,Nickelodeon - Paw Patrol Me Reader Electronic Reader and 8-Book Library - PI Kids
Chinua Achebe,4.3,1703,Things Fall Apart
Jory John,4.7,112,The Good Egg
Arthur Edward Waite,4.5,1411,The Rider Tarot Deck
Chinua Achebe,4.3,1703,Things Fall Apart
Jory John,4.7,112,The Good Egg
Arthur Edward Waite,4.5,1411,The Rider Tarot Deck
Megan Goldin,4.2,377,The Escape Room: A Novel
Marcus Pfister,4.4,1092,The Rainbow Fish
Linda Castillo,4.6,175,Shamed: A Kate Burkholder Novel
Robert T. Kiyosaki,4.6,7745,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!
Aldous Huxley,4.2,2534,Brave New World
Tammi Sauer,4.6,64,Nugget and Fang: Friends Forever--or Snack Time?
Colson Whitehead,4.2,4529,The Underground Railroad: A Novel
Stephen King,N/A,0,The Institute: A Novel
Michael A. Singer,4.7,5069,The Untethered Soul: The Journey Beyond Yourself
Adele Faber,4.6,1437,How to Talk So Kids Will Listen & Listen So Kids Will Talk
Mandy Robotham,4.7,667,The German Midwife: A new historical romance for 2019 from the USA Today best seller.
